"nombre","especie","familia","orden","clase","habitat","dieta","gestacion","numero de crias","vida"
"Elefante africano de sabana","Loxodonta africana","Elephantidae","Proboscidea","Mammalia","Áreas de sabana seca y de matorral, donde la agricultura es marginal.","","Herbívoros generalistas, se alimentan de una gran variedad de hierbas y material herbáceo que incluye raíces, hojas, frutos, ramas, cortezas y semillas.","640-660 días.","1"
"Estornino púrpura","Lamprotornis purpureus","Sturnidae","Passeriformes","Aves","Viven en zonas de sabana abierta y arbolada.","Se alimenta principalmente de frutas e insectos.","","15 días.","2-3"
"Estornino real","Cosmopsarus regius","Sturnidae","Passeriformes","Aves","Vive en zonas de sabana, en bosques abiertos y matorrales de acacias.","Se alimenta principalmente de insectos, complementa su dieta con frutas.","11-14 días.","3-5","12-14 años."
"Estornino soberbio","Lamprotornis superbus","Sturnidae","Passeriformes","Aves","Vive en ambientes de sabana, en zonas de pradera, y también en zonas agrícolas, urbanas y suburbanas.","","Se alimentan de termitas, saltamontes y otros insectos que encuentran por el suelo, así como de pequeñas bayas que recolectan.","12 días.","3-4"
"Facoquero","Phacochoerus africanus","Suidae","Artiodactyla","Mammalia","Se encuentra en todo tipo de sabanas; herbáceas, arbustivas y arboladas, preferentemente con reservas de agua y grandes espacios abiertos.","","Dieta omnívora compuesta de hierbas, raíces, bayas, corteza y ocasionalmente de hongos, huevos y carroña, así como pequeños mamíferos, reptiles y aves. El alimento ingerido varía estacionalmente en función de la disponibilidad, este oportunismo y la versatilidad de la dieta constituyen una excelente estrategia que garantiza su supervivencia.","170-175 días.","1-7"
"Gacela Mhorr","Nanger dama mhorr","Bovidae
 Antilopinae","Artiodactyla","Mammalia","En la parte occidental del norte de África, la gacela Mhorr solía encontrarse en zonas de estepas montañosas secas y de estepas herbáceas.","Animal pastador, se alimenta principalmente de hojas de acacias, de duros y ásperos pastos, de matorrales y de granos de mijo.","","Entre 174-202 días.","1"
"Gacela de Thomson","Eudorcas thomsonii","Bovidae
 Antilopinae","Artiodactyla","Mammalia","Viven en sabanas, en zonas secas, de herbazal y de matorral. También adaptadas a vivir en zonas áridas y son capaces de permanecer en sabanas secas durante más tiempo que otros ungulados de la misma región, los cuales migran a zonas más húmedas.","","Herbívora a base principalmente de pastos de pequeño tamaño, también se alimentan de ramitas, semillas y hojas de árboles, especialmente durante la estación seca.","Alrededor de 180 días.","1"
"Grulla coronada cuelligrís","Balearica regulorum","Gruidae","Gruiformes","Aves","Generalmente se encuentra en praderas cercanas a masas de agua, donde suelen hacer sus nidos, sin embargo, a menudo se alimentan en sabanas abiertas, e incluso se la observa también se encuentran en tierras de cultivo.","","Son omnívoros generalistas y se alimentan de insectos, de pequeños animales como lagartos y gusanos y de semillas.","28-31 días.","2-4"
"Hiena manchada","Crocuta crocuta","Hyaenidae
 Hyaeninae","Carnivora","Mammalia","La hiena ocupa una gran variedad de hábitats; regiones áridas y abiertas que incluyen zonas semidesérticas, sabanas, bosques de acacias, zonas pantanosas y áreas montañosas de hasta 4000 metros de altitud. Aunque necesitan agua para beber, son capaces de vivir en zonas con poca disponibilidad.","","Diferentes especies de antílopes, cebras, búfalos, ñus, zorros, leones jóvenes y en ocasiones carroña.","","117 días."
"Ibis sagrado","Threskiornis aethiopicus","Threskiornithidae","Ciconiiformes","Aves","Vive en una amplia variedad de hábitats, generalmente se encuentran en las proximidades de ríos, corrientes, masas de agua continental y zonas costeras de áreas tropicales y subtropicales.","Se alimentan principalmente de insectos, arácnidos, anélidos, crustáceos y moluscos. En ocasiones se alimentan de ranas, reptiles, peces, pequeños pájaros y huevos.","21-29 días.","1-5","20 años."
"Impala","Aepyceros melampus","Bovidae
 Antilopinae","Artiodactyla","Mammalia","En zonas de sabana, donde prefiere los márgenes entre los herbazales y los terrenos arbolados densos, ya que necesita forraje de gran calidad, humedad, sombra y cubierto. Ocupa los herbazales durante las lluvias y los terrenos arbolados en la estación seca.","","Pasta casi exclusivamente durante la estación lluviosa, cuando llega la estación seca el porcentaje de gramíneas disminuye hasta un 30% de su dieta y ramonea arbustos, herbáceas, vainas y semillas.","Alrededor de 195-200 días.","1"
"Jabirú africano","Ephippiorhynchus senegalensis","Ciconiidae","Ciconiiformes","Aves","Vive en grandes humedales de agua dulce, salobre o salada, tales como marjales de aguas superficiales, márgenes de ríos y orillas de lagos, zonas pantanosas y llanuras de aluvión, en los que haya abundante presencia de peces y grandes árboles cerca para anidar.","Su dieta consiste principalmente en peces de 15-30 cm de longitud y de más de 500 g de peso, así como crustáceos, ranas, reptiles, pequeños mamíferos, moluscos e insectos.","30-35 días.","1-5","12 años en la naturaleza y 19 en cautividad."
"Jirafa Baringo","Giraffa camelopardalis rothschildi
Giraffa camelopardalis","Giraffidae","Artiodactyla","Mammalia","Se encuentran en todo tipo de ambientes de sabana, si bien prefieren áreas ricas en acacias, los machos suelen aventurarse en el interior de densas arboledas en busca de más follaje. Debido a que sólo beben ocasionalmente, las jirafas pueden encontrarse lejos de fuentes de agua.","Hojas, ramas y flores principalmente de diferentes especies de acacia.","Alrededor de 450 días.","","1"
"León africano","Panthera leo bleyenberghi
Panthera leo","Felidae
 Pantherinae","Carnivora","Mammalia","Sabana africana y zonas semidesérticas.","","Carnívoros generalistas, aunque los ungulados de mediano y gran tamaño ocupan la mayor parte de su dieta, pueden alimentarse de una gran variedad de vertebrados, desde pequeños ratones hasta jóvenes rinocerontes, hipopótamos y elefantes, pasando por pájaros, reptiles, peces e incluso insectos.","92-119 días.","1-4"
"Mangosta enana","Helogale parvula undulata","Herpestidae
 Mungotinae","Carnivora","Mammalia","Se encuentra en un amplio rango de hábitats, principalmente en sabana, sabana arbolada, zonas boscosas y zonas de matorral seco, terrenos áridos y semiáridos. Se encuentran estrechamente relacionadas con termiteros, que usan como madrigueras.","Predominantemente insectívora, especialmente a base de termitas y escarabajos, pero también ciempiés, larvas de escarabajo y ocasionalmente pequeños vertebrados (pequeños mamíferos, geckos, serpientes y pájaros).","55 días.","1-6","13 años en la naturaleza y hasta 18 años en cautividad."
"Mangosta rayada","Mungos mungo","Herpestidae
 Mungotinae","Carnivora","Mammalia","Se encuentra en un amplio rango de hábitats, principalmente en sabanas, sabanas arboladas, zonas boscosas, zonas de matorral seco y áreas rocosas de la sabana. Se encuentran estrechamente relacionadas con termiteros.","","Predominantemente insectívora, especialmente a base de escarabajos y larvas de ciempiés, y ocasionalmente pequeños vertebrados (incluyendo huevos, ratones, ratas, ranas, lagartos y serpientes).","60 días.","1-4"
"Marabú africano","Leptoptilos crumeniferus","Ciconiidae","Ciconiiformes","Aves","Vive en una gran variedad de hábitats, desde sabanas secas, pastos y llanuras, zonas pantanosas, orillas de ríos y lagos y otros humedales.","Se alimentan principalmente de carroña y restos de peces desechados por los humanos, secundariamente también se alimentan de presas vivas, como peces, termitas, langostas, ranas, lagartos y serpientes, ratas y ratones y aves.","30 días.","2-3 huevos.","25 años en la naturaleza y hasta 44 en cautividad."
"Oricteropo","Orycteropus afer","Orycteropodidae","Tubulidentata","Mammalia","Sabana abierta, zonas semiáridas y claros de bosque; generalmente en suelos arenosos o de arcilla donde es fácil cavar y en lugares donde haya una gran abundancia de hormigas y termitas.","Hormigas, termitas y ocasionalmente larvas de insectos (principalmente escarabajos).","243 días.","1 y rara vez 2.","18 años."
"Paloma de Guinea","Columba guinea","Columbidae","Columbiformes","Aves","Vive en ambientes de sabana, en zonas con árboles altos, acantilados o paredes rocosas que puedan ser usados para anidar o descansar.","Se alimenta de semillas y pequeños frutos que recolecta del suelo.","15-16 días.","2","10-15 años."
"Pintada moñuda","Guttera pucherani pucherani","Numididae","Galliformes","Aves","Vive generalmente en zonas secas y montañosas, tales como bosques de acacias poco densos, sabanas o desiertos.","Omnívora a base de granos, semillas, bulbos, raíces, frutos, insectos, pequeños invertebrados e incluso pequeños reptiles.","28 días.","4-10","12 años."
"Pitón real","Python regius","Boidae","Squamata","Reptilia","Vive en zonas boscosas, matorrales, tierras semiáridas y agrícolas, siempre cercanas al agua","","Se alimenta principalmente de roedores, también pequeños conejos y ocasionalmente de aves y reptiles.","44-54 días.","4-12"
"Pitón de Seba","Python sebae","Boidae","Squamata","Reptilia","Tienen preferencia por los bosques húmedos o de hoja perenne y sabanas abiertas. Suelen frecuentar afloramientos rocosos que utilizan para ocultarse, así como madrigueras de mamíferos en las zonas menos rocosas. Con frecuencia se encuentran también cerca de ríos y lagos.","Se alimentan principalmente de vertebrados terrestres. Los individuos jóvenes, se alimentan de pequeños mamíferos, especialmente ratas. Una vez son adultos, se alimentarán de presas de mayor tamaño, como primates, cocodrilos, lagartos grandes, y antílopes","65-80 días.","20-50","20-30 años."
"Puercoespín sudafricano","Hystrix africaeaustralis","Hystricidae","Rodentia","Mammalia","En su área de distribución, se encuentran en ambientes con vegetación comprendidos entre el nivel del mar y los 2000 m de altitud. Prefieren zonas con colinas y afloramientos rocosos donde pueden encontrar refugio durante el día.","Raíces, bulbos, tubérculos y corteza de árboles. Ocasionalmente carroña o esqueletos viejos, que roen en busca de sales minerales.","Alrededor de 94 días.","1-4","Hasta 15 años en la naturaleza y hasta 23 en cautividad."
"Rata gambiana","Cricetomys gambianus","Nesomyidae","Rodentia","Mammalia","Vive en una gran variedad de hábitats que van de zonas áridas a zonas templadas, en un rango de altitud desde el nivel del mar a los 2000 metros, y en los que necesita algún tipo de refugio para sobrevivir, tales como huecos de árboles, roquedales, o madrigueras hechas por otros animales. Ocasionalmente se aventura en zonas urbanas donde llega a formar plagas.","Son omnívoras, se alimentan de una gran variedad de frutas, vegetales, nueces, raíces, tubérculos, e incluso termitas o caracoles.","30-32 días.","1-5","5-7 años."
"Rata topo desnuda","Heterocephalus glaber","Bathyergidae","Rodentia","Mammalia","Viven en túneles subterráneos que realizan en las sabanas del este de África, sus sistemas de túneles llegan hasta los 2 metros de profundidad y se encuentran en zonas situadas entre los 1100-3000 metros de altitud.","Se alimentan de raíces, bulbos y tubérculos, que son accesibles bajo tierra. En ocasiones viajan grandes distancias para encontrar sus alimentos preferidos, suelen dejar partes de la planta intactas para que continúen creciendo y puedan volver en futuras ocasiones. Una vez encontrada la comida vuelven al nido, donde la almacenan.","70 días.","","7"
"Ratón espinoso","Acomys cahirinus","Muridae","Rodentia","Mammalia","Suelen vivir en hábitats áridos y rocosos, como cañones o acantilados, pero también en grietas de edificios humanos, siempre en altitudes por debajo de los 1500 m. También se les encuentra en zonas de gravas erosionadas, pero generalmente nunca en zonas arenosas.","Omnívoros y oportunistas, se alimentan de semillas, frutas, plantas secas, arañas, pequeños insectos e incluso caracoles. En poblaciones que viven cerca de los humanos, se alimentan también de grano y comida almacenada.","35-42 días.","1-5","4 años."
"Ratón pigmeo africano","Mus minutoides","Muridae","Rodentia","Mammalia","Suelen vivir en prados y sabanas, en madrigueras familiares que ellos mismos excavan bajo troncos caídos o montones de rocas.","","Omnívoros y oportunistas, se alimentan de semillas, frutas, plantas secas, arañas y pequeños insectos. En poblaciones que viven cerca de los humanos, se alimentan también de grano y comida almacenada.","20 días.","1-6"
"Rinoceronte blanco sureño","Ceratotherium simum simum","Rhinocerotidae
 Dicerotinae","Perissodactyla","Mammalia","Por su actividad estrictamente pastadora, su hábitat se restringe a zonas de sabana herbácea con hierbas bajas, acceso a sombra y fuente de agua","Pastizales, prefiriendo especies herbáceas de poca altura.","480 días.","1","40-45 años."
"Saltarrocas","Oreotragus oreotragus","Bovidae
 Antilopinae","Artiodactyla","Mammalia","Variado, como por ejemplo, terrenos escarpados, montañas o desfiladeros y cañones de ríos, en todos los casos con el suelo rocoso o pedregoso y con abundante vegetación corta.","Ramonea hierbas y follaje a baja altura, las gramíneas constituyen un parte importante de su dieta durante la estación lluviosa.","Alrededor de 210-225 días.","1","12-15 años."
"Suricata","Suricata suricatta","Herpestidae
 Mungotinae","Carnivora","Mammalia","Zonas abiertas y semiáridas, a menudo rocosas y praderas. Viven en madrigueras propias o de otros pequeños mamíferos muy extensas con múltiples entradas y cámaras donde la temperatura se mantiene más estable y confortable que en el exterior.","Insectívora, especialmente escarabajos, arácnidos y larvas de ciempiés, ocasionalmente también se alimentan de pequeños vertebrados (incluyendo lagartos y pequeñas serpientes), huevos y fruta.","70-80 días.","3","10 años."
"Turaco cariblanco","Tauraco leucotis","Musophagidae","Cuculiformes","Aves","Vive en bosques de alta montaña, de 2200-3200 m de altitud.","Se alimentan principalmente de fruta, aunque complementan su dieta con insectos.","22-23 días.","2","10-12 años."
